Signal Id,Signal Name,Signal Role,Interface Type,Abbreviation,Interfacing Equipment,Signal Owner,Repeated Per,Same quantity as,Computed from,Connection Type,Unit,Functional Minimum,Functional Maximum,Notes,On aircraft ?,On FND ?,On Sim ?
SIG-001,Electric Motor Torque,Measurement,Analog,EM_Tq,EM,HICU,,SIG-182,,Torque sensor at gearbox,,,,,Yes,TBD,TBD
SIG-002,Electric Motor Current,Measurement,Analog,EM_I,EMC,EMC,,,,Current sensor,,,,Not part of the OEM CON/MON payload; the OEM reports HVDC current and voltage instead.,Yes,TBD,TBD
SIG-003,Electric Motor Voltage,Measurement,Analog,EM_V,EMC,EMC,,SIG-033;SIG-178;SIG-180,,Voltage sensor,,,,Not part of the OEM CON/MON payload; the OEM reports HVDC current and voltage instead.,Yes,TBD,TBD
SIG-004,Electric Motor Speed (CON),Measurement,Digital,EM_RPM,EMC,EMC,,SIG-177,,CAN CON motor status (SP000630),RPM,-16384,16383.5,CON-lane speed from the EMC. OEM label con_speed_measured. The MON lane is a separate signal.,Yes,TBD,TBD
SIG-005,Electric Motor Coolant Delta Pressure,Measurement,Analog,EM_dP,IPTMS,IPTMS,NAC;EM,,,Differential pressure sensor,,,,Per-motor detail within IPTMS Loop 1; acquired and reported by IPTMS.,Yes,TBD,TBD
SIG-006,Electric Motor Coolant Outlet Temperature,Measurement,Analog,EM_Tout,IPTMS,IPTMS,NAC;EM,,,Temperature sensor,,,,Per-motor detail within IPTMS Loop 1; acquired and reported by IPTMS.,Yes,TBD,TBD
SIG-007,Power Lever Position,Measurement,Analog,PLA,THROTTLE,ICM,,SIG-008,,RVDT,Normalized,-1,1,,Yes,No,Yes
SIG-008,Power Lever Position backup,Measurement,Analog,PLA_BACKUP,THROTTLE,BPM,,SIG-007,,Potentiometer,Normalized,-1,1,,Yes,TBD,TBD
SIG-009,Power Lever Idle position,Measurement,Discrete,PLA_IDLE_SW,THROTTLE,ICM,,,,Proximity switch,,,,,Yes,TBD,TBD
SIG-010,Flap Lever Position,Measurement,Analog,FLAP_LEVER,FLAP_LEVER,ICM,,,,RVDT,Normalized,-1,1,,Yes,TBD,TBD
SIG-011,Turbine Operational Mode Selector,Measurement,Discrete,TURB_MODE,CONTROL_PANELS,ICM,NAC,,,Multiposition selector,,,,,Yes,TBD,TBD
SIG-012,Propeller Blade Angle,Measurement,Analog,Beta,PROPELLER,EPECS,,SIG-013,,"Beta probes / ring, control path",,,,,Yes,TBD,TBD
SIG-013,Propeller Blade Angle,Measurement,Analog,Beta,PROPELLER,EPECS,,SIG-012,,"Beta probes / ring, protection path",,,,,Yes,TBD,TBD
SIG-014,Propeller Speed,Measurement,Analog,Np,PROPELLER,EPECS,,,,Beta probes / ring,,,,,Yes,TBD,TBD
SIG-015,Fuel Temperature,Measurement,Analog,TF,FCU,EPECS,,,,RTD / TBD,,,,,Yes,TBD,TBD
