UniqueId,Textual Name,Installed In/Part of,Domain,Type,Multiplicity,Description,Notes
AVIO,Avionics,,,Domain,,Aircraft avionics domain,
FCS,Flight Control System,,,Domain,,Global flight control system,
PDS,Power Distribution System,,,Domain,,High-voltage distribution from the storage assemblies to the propulsion loads,
PEMS,Power and Energy Management System,,,Domain,,"Power and energy management: mission energy strategy, power allocation to the propulsion effectors and nacelle command distribution",
PROP,Propulsion System,,,Domain,,"Propulsion: hybrid propulsion packages, thermal engine, electric motors, combining gearbox and propeller",
FUEL,Fuel System,,,Domain,,Fuel storage and delivery to the propulsion packages,Storage is in the three tanks; delivery to each propulsion package is handled by the FCU (one per HPP)
THERM,Thermal system,,,Domain,,Thermal management of the propulsion packages (IPTMS) and of the storage assemblies (BTMS),
ESS,Energy Storage System,,,Domain,,"Electrical energy storage: four HVDC assemblies, each holding twelve battery packs with their BMU, a master BMS and a charge controller",Function only; the storage hardware is contained in the HVDC assemblies.
AC,Aircraft,,,Aircraft,1,Complete aircraft,
BAY,Avionics bays,AC,,Zone,1,Avionics bay containing LRU that most need to be in a controlled environment,"Assume only one bay at this stage, separation of different LRU to different bays might be added later"
CKPT,Cockpit,AC,,Zone,1,Pilot controls and displays,
WING,Wing,AC,,Zone,2,"Two wings, mainly defined for BTMS",
NAC,Nacelle,AC,,Zone,4,Four nacelle installations,
NOSE,Aircraft nose,AC,,Zone,1,,
FCC,Flight Control Computer,BAY,FCS,Component,3,Primary flight control computer,Quantity subject to supplier confirmation. Also hosts the power-management computation (working assumption); stays in the FCS grouping.
ICM,Interface Control Module,BAY,FCS,Component,3,Pilot-control acquisition modules,Acquires the cockpit controls and publishes them on the aircraft backbone
FMS,Flight Management System,BAY,AVIO,Component,2,,
IRU,Inertial Reference Unit,BAY,AVIO,Component,1,Inertial reference units providing aircraft attitude and acceleration,Modelled as a single entity; avionics redundancy to be refined.
ADC,Air Data Computer,BAY,AVIO,Component,1,Air Data Computer,Modelled as a single entity; avionics redundancy to be refined.
WXR,Weather Radar,BAY,AVIO,Component,1,Weather radar (environmental sensing),Placeholder for the avionics environmental inputs.
DCU,Data Concentrator Unit,BAY,AVIO,Component,1,Placeholder for avionics data collector and distributor,Modelled as a single entity; avionics redundancy to be refined.
IMA,Integrated Modular Avionics,BAY,AVIO,Component,1,Integrated Modular Avionics - host of multiple applications in one server. Use data collected through DCU.,Modelled as a single entity; avionics redundancy to be refined.
BPM,Backup Power Management,BAY,PEMS,Component,1,Independent backup propulsion command controller,
